Id,Label,latitude,city,state,longitude,Cluster_No,PageRank,Component ID,Eccentricity,Closeness Centrality,Betweenness Centrality
"Dover, Ohio","Dover, Ohio",40.5206198,Dover,Ohio,-81.4740054,7,1.7522938715883548E-4,0,4.0,2.520385470719051,0.0
"Superior, Wisconsin","Superior, Wisconsin",46.7207737,Superior,Wisconsin,-92.1040796,0,4.7835847671507834E-4,0,4.0,2.1916234247590807,456.46326152401826
"Lake-Wales, Florida","Lake-Wales, Florida",27.9014133,Lake-Wales,Florida,-81.5859099,0,2.9441391347473107E-4,0,4.0,2.348035581912528,459.19527483695543
"Staunton, Illinois","Staunton, Illinois",39.0122684,Staunton,Illinois,-89.7912063,0,1.0141915786326947E-4,0,4.0,2.381022979985174,0.0
"Yountville, California","Yountville, California",38.4015781,Yountville,California,-122.3608105,0,3.154276109559582E-4,0,4.0,2.144551519644181,90.91145368202527
"Abiquiu, New-Mexico","Abiquiu, New-Mexico",36.207241,Abiquiu,New-Mexico,-106.3186397,0,6.580132594071789E-5,0,4.0,2.547813194959229,0.0
"Wytheville, Virginia","Wytheville, Virginia",36.9484528,Wytheville,Virginia,-81.084811,2,3.1160206035643666E-4,0,4.0,2.4217939214232764,0.0
"Riverhead, New-York","Riverhead, New-York",40.9170435,Riverhead,New-York,-72.6620402,0,6.490765809965529E-5,0,4.0,2.613787991104522,0.0
"Gulf-Breeze, Florida","Gulf-Breeze, Florida",30.3571438,Gulf-Breeze,Florida,-87.1638574,1,4.3158482830868195E-4,0,4.0,2.1604892512972573,0.0
"St-Mary, Montana","St-Mary, Montana",48.7438663,St-Mary,Montana,-113.4295461,3,3.9989761180468696E-4,0,4.0,2.147146034099333,128.04764957247312
"Sun-Prairie, Wisconsin","Sun-Prairie, Wisconsin",43.1836046,Sun-Prairie,Wisconsin,-89.2137254,0,5.906200629268018E-5,0,5.0,2.9566345441067456,0.0
"Lafitte, Louisiana","Lafitte, Louisiana",29.6668793,Lafitte,Louisiana,-90.1084073,0,1.2565663310974533E-4,0,4.0,2.276130467012602,0.0
"White-Springs, Florida","White-Springs, Florida",30.3296697,White-Springs,Florida,-82.7590165,0,1.8911807229603464E-4,0,4.0,2.4266123054114157,0.0
"Grayslake, Illinois","Grayslake, Illinois",42.3444664,Grayslake,Illinois,-88.041746,0,6.901007354130796E-5,0,4.0,2.7160859896219423,0.035869565217391305
"Castle-Rock, Washington","Castle-Rock, Washington",46.275111,Castle-Rock,Washington,-122.9076141,0,2.280185469687139E-4,0,4.0,2.2868791697553745,61.69773495683267
"Juneau, Alaska","Juneau, Alaska",58.3019444,Juneau,Alaska,-134.4197222,0,0.0013520464721107819,0,4.0,1.924017790956264,10735.631253149419
"Calabasas, California","Calabasas, California",34.1383333,Calabasas,California,-118.6608333,0,1.2416681618952557E-4,0,4.0,2.2935507783543367,24.060153911621644
"Suwanee, Georgia","Suwanee, Georgia",34.0514898,Suwanee,Georgia,-84.0712997,0,3.2873421496834647E-4,0,4.0,2.2312824314306896,18.006584497845473
"Minnetonka, Minnesota","Minnetonka, Minnesota",44.9211836,Minnetonka,Minnesota,-93.4687489,0,5.938896476749477E-5,0,4.0,2.9262416604892514,0.0
"Moraine-State-Park, Pennsylvania","Moraine-State-Park, Pennsylvania",40.938392,Moraine-State-Park,Pennsylvania,-80.0976058,0,3.841887738461668E-4,0,4.0,2.1271312083024463,0.0
"Navasota, Texas","Navasota, Texas",30.3879845,Navasota,Texas,-96.0877349,0,1.7344046170986692E-4,0,4.0,2.493328391401038,0.0
"Scottsdale, Arizona","Scottsdale, Arizona",33.4941704,Scottsdale,Arizona,-111.9260519,0,6.000777609993092E-4,0,4.0,2.038547071905115,1559.7155567798957
"Whitehall, Montana","Whitehall, Montana",45.8693709,Whitehall,Montana,-112.0986053,0,2.1986570273684134E-4,0,4.0,2.299110452186805,0.0
"El-Prado, New-Mexico","El-Prado, New-Mexico",36.4317932,El-Prado,New-Mexico,-105.5746857,0,2.2098743975351338E-4,0,4.0,2.183839881393625,0.0
"Fish-Camp, California","Fish-Camp, California",37.4781746,Fish-Camp,California,-119.6391413,0,6.737709013253451E-5,0,4.0,2.4558932542624166,0.0
"Carson-City, Nevada","Carson-City, Nevada",39.1637984,Carson-City,Nevada,-119.7674034,0,9.059957125796433E-4,0,4.0,2.0344699777613044,2400.835299744816
"Whidbey-Island, Washington","Whidbey-Island, Washington",47.9982761,Whidbey-Island,Washington,-122.4395026,0,4.4336481331649176E-4,0,4.0,2.09822090437361,915.8139924975623
"Tuscaloosa, Alabama","Tuscaloosa, Alabama",33.2098407,Tuscaloosa,Alabama,-87.5691735,0,3.387570709699E-4,0,4.0,2.1056338028169015,35.882042819962464
"Maryville, Tennessee","Maryville, Tennessee",35.7564719,Maryville,Tennessee,-83.9704593,0,9.301501115884311E-5,0,4.0,2.501482579688658,0.0
"Willow, Alaska","Willow, Alaska",61.7697336,Willow,Alaska,-149.9910633,0,3.1235416564734104E-4,0,4.0,2.2765011119347665,259.2042623009036
"Sublimity, Oregon","Sublimity, Oregon",44.8295663,Sublimity,Oregon,-122.7945335,0,9.584146785629271E-5,0,4.0,2.4347664936990365,0.0
"Ferndale, California","Ferndale, California",40.5762406,Ferndale,California,-124.2639442,0,1.3015141815101046E-4,0,4.0,2.477020014825797,0.0
"Houston, Texas","Houston, Texas",29.7601927,Houston,Texas,-95.3693896,0,0.002118953086910297,0,3.0,1.840252038547072,21906.876875634272
"Yampa, Colorado","Yampa, Colorado",40.1524837,Yampa,Colorado,-106.9086582,0,1.2966447056755583E-4,0,4.0,2.6934766493699036,0.0
"Hutchinson-Island, Florida","Hutchinson-Island, Florida",27.3545667,Hutchinson-Island,Florida,-80.2488596,0,3.2233974789174256E-4,0,4.0,2.225722757598221,1.5308921621474423
"Racine, Wisconsin","Racine, Wisconsin",42.7261309,Racine,Wisconsin,-87.7828523,0,6.300288296214383E-5,0,4.0,2.5997034840622684,0.0
"Skykomish, Washington","Skykomish, Washington",47.7092746,Skykomish,Washington,-121.3601014,3,2.9060722018080487E-4,0,4.0,2.210896960711638,0.0
"Riverside, California","Riverside, California",33.9533487,Riverside,California,-117.3961564,0,2.080454703744073E-4,0,4.0,2.156412157153447,23.739430208670967
"Archbold, Ohio","Archbold, Ohio",41.5214401,Archbold,Ohio,-84.307172,0,2.4890321738087526E-4,0,4.0,2.201630837657524,0.0
